"customer_id","category_id","item_id","size_caption","width","left_facing","right_facing","thickness","printing_cylinder","cutting_length_cm","raw_material","master_batch_id","is_printed","cutting_unit","unit_weight_kg","notes","punching"
"CID1386","CAT03","ITM24","32+9+9X60","32","9","9","12","24","61","HDPE","MAS01","Yes","Kg.","1","10P/Bag","علاقي هوك"
"CID323","CAT09","ITM64","12X50","12","0","0","10","20","51","LDPE","MAS28","Yes","Kg.","1","20K/Bag","بدون"
"CID323","CAT09","ITM64","14X45","14","0","0","10","18","46","LDPE","MAS28","Yes","Kg.","1","20K/Bag","بدون"
"CID323","CAT09","ITM64","18X71","18","0","0","10","28","71","LDPE","MAS28","Yes","Kg.","1","20K/Bag","بدون"
"CID1387","CAT09","ITM64","32+10+10X40","32","10","10","40","16","41","HDPE","MAS02","Yes","Kg.","1","20K/Bag","بنانة"
"CID864","CAT08","ITM58","19X76","19","0","0","35","30","76","LDPE","MAS01","Yes","Kg.","1","20K/Bag","بدون"
"CID864","CAT08","ITM59","19X76","19","0","0","35","30","76","LDPE","MAS26","Yes","Kg.","1","20K/Bag","بدون"
"CID978","CAT08","ITM56","30+5+5X50","30","5","5","32","20","51","LDPE","MAS19","Yes","Kg.","1","20K/Bag","بنانة"
"CID978","CAT08","ITM57","40+5+5X60","40","5","5","50","24","61","LDPE","MAS19","Yes","Kg.","1","20K/Bag","بنانة"
"CID1379","CAT08","ITM56","26+4+4X50","26","4","4","60","20","51","LDPE","MAS01","Yes","Kg.","1","20K/Bag","بنانة"
